address,reagent_id,reagent_label,reagent_batch_name,rec_id,concentration,concentration_units
A01,C107,C107,,REC-SGRNA-000009,20,uM
A02,C108,C108,,REC-SGRNA-000010,20,uM
A03,C109,C109,,REC-SGRNA-000011,20,uM
A04,C302,C302,,REC-SGRNA-000226,20,uM
A05,C303,C303,,REC-SGRNA-000227,20,uM
A06,C304,C304,,REC-SGRNA-000228,20,uM
A07,C462,C462,,REC-SGRNA-06772,20,uM
A08,C463,C463,,REC-SGRNA-06773,20,uM
A09,C464,C464,,REC-SGRNA-06919,20,uM
A10,C101,C101,,REC-SGRNA-000003,20,uM
A11,C102,C102,,REC-SGRNA-000004,20,uM
A12,C502,C502,,REC-SGRNA-06947,20,uM
A13,C487,C487,,REC-SGRNA-06935,20,uM
A14,C488,C488,,REC-SGRNA-06936,20,uM
A15,C489,C489,,REC-SGRNA-06937,20,uM
A16,C534,C534,,REC-SGRNA-06975,20,uM
A17,C535,C535,,REC-SGRNA-06976,20,uM
A18,C536,C536,,REC-SGRNA-06786,20,uM
A19,C475,C475,,REC-SGRNA-06926,20,uM
A20,C476,C476,,REC-SGRNA-06927,20,uM
A21,C477,C477,,REC-SGRNA-06761,20,uM
A22,C335,C335,,REC-SGRNA-000262,20,uM
A23,C336,C336,,REC-SGRNA-000263,20,uM
A24,C337,C337,,REC-SGRNA-000264,20,uM
B01,C271,C271,,REC-SGRNA-000191,20,uM
B02,C272,C272,,REC-SGRNA-000192,20,uM
B03,C273,C273,,REC-SGRNA-000193,20,uM
B04,C290,C290,,REC-SGRNA-000212,20,uM
B05,C291,C291,,REC-SGRNA-000213,20,uM
B06,C292,C292,,REC-SGRNA-000214,20,uM
B07,C296,C296,,REC-SGRNA-000218,20,uM
B08,C297,C297,,REC-SGRNA-000219,20,uM
B09,C299,C299,,REC-SGRNA-000221,20,uM
B10,C603,C603,,REC-SGRNA-07025,20,uM
B11,C604,C604,,REC-SGRNA-07026,20,uM
B12,C605,C605,,REC-SGRNA-07027,20,uM
